a,b
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
1,-1
0.995994,-0.995994
0.983994,-0.983994
0.971994,-0.971994
0.959994,-0.959994
0.947994,-0.947994
0.936037,-0.936037
0.923995,-0.923995
0.911994,-0.911994
0.899994,-0.899994
0.887994,-0.887994
0.875994,-0.875994
0.863995,-0.863995
0.852036,-0.852036
0.839994,-0.839994
0.827994,-0.827994
0.815995,-0.815995
0.803994,-0.803994
0.791995,-0.791995
0.779994,-0.779994
0.768035,-0.768035
0.755995,-0.755995
0.743995,-0.743995
0.731995,-0.731995
0.719995,-0.719995
0.707995,-0.707995
0.695995,-0.695995
0.684034,-0.684034
0.671994,-0.671994
0.659994,-0.659994
0.647994,-0.647994
0.635995,-0.635995
0.623995,-0.623995
0.611995,-0.611995
0.600034,-0.600034
0.587995,-0.587995
0.575995,-0.575995
0.563995,-0.563995
0.551995,-0.551995
0.539994,-0.539994
0.527995,-0.527995
0.516033,-0.516033
0.503994,-0.503994
0.491995,-0.491995
0.479995,-0.479995
0.467995,-0.467995
0.455995,-0.455995
0.443995,-0.443995
0.432032,-0.432032
0.419994,-0.419994
0.407995,-0.407995
0.395995,-0.395995
0.383995,-0.383995
0.371996,-0.371996
0.359995,-0.359995
0.348031,-0.348031
0.335995,-0.335995
0.323995,-0.323995
0.311996,-0.311996
0.299995,-0.299995
0.287995,-0.287995
0.275995,-0.275995
0.264031,-0.264031
0.251996,-0.251996
0.239995,-0.239995
0.227995,-0.227995
0.215995,-0.215995
0.203995,-0.203995
0.191995,-0.191995
