a,b,c,d,e,f
1.37037,1,1,1.05,-1,2.71429
1.36963,0.928571,0.998,1,-0.998,2.988
1.36889,0.928571,0.996,1,-0.996,2.976
1.36815,0.928572,0.994,1,-0.994,2.964
1.36741,0.928571,0.992,1,-0.992,2.952
1.36667,0.928571,0.99,1,-0.99,2.94
1.36593,0.928572,0.988,1,-0.988,2.928
1.36519,0.928571,0.986,1,-0.986,2.916
1.36444,0.928571,0.984,1,-0.984,2.904
1.3637,0.928571,0.982,1,-0.982,2.892
1.36296,0.928572,0.98,1,-0.98,2.88
1.36222,0.928572,0.978,1,-0.978,2.868
1.36148,0.928572,0.976,1,-0.976,2.856
1.36074,0.928571,0.974,1,-0.974,2.844
1.36,0.928572,0.972,1,-0.972,2.832
1.35926,0.928572,0.97,1,-0.97,2.82
1.35852,0.928571,0.968,1,-0.968,2.808
1.35778,0.928572,0.966,1,-0.966,2.796
1.35704,0.928571,0.964,1,-0.964,2.784
1.3563,0.928572,0.962,1,-0.962,2.772
1.35556,0.928572,0.96,1,-0.96,2.76
1.35481,0.928572,0.958,1,-0.958,2.748
1.35407,0.928572,0.956,1,-0.956,2.736
1.35333,0.928572,0.954,1,-0.954,2.724
1.35259,0.928572,0.952,1,-0.952,2.712
1.35185,0.92857,0.95,0.999999,-0.95,2.70001
1.35111,0.928572,0.948,1,-0.948,2.688
1.35037,0.928572,0.946,1,-0.946,2.676
1.34963,0.928572,0.944,1,-0.944,2.664
1.34889,0.928572,0.942,1,-0.942,2.652
1.34815,0.928572,0.94,1,-0.94,2.64
1.34741,0.928572,0.938,1,-0.938,2.628
1.34667,0.92857,0.936,0.999999,-0.936,2.61601
1.34593,0.928572,0.934,1,-0.934,2.604
1.34519,0.928572,0.932,1,-0.932,2.592
1.34444,0.928572,0.93,1,-0.93,2.58
1.3437,0.92857,0.928,0.999999,-0.928,2.56801
1.34296,0.928574,0.926,1,-0.926,2.55599
1.34222,0.92857,0.924,0.999999,-0.924,2.54401
1.34148,0.928574,0.922,1,-0.922,2.53199
1.34074,0.92857,0.92,0.999999,-0.92,2.52001
1.34,0.928574,0.918,1,-0.918,2.50799
1.33926,0.92857,0.916,0.999999,-0.916,2.49601
1.33852,0.92857,0.914,0.999999,-0.914,2.48401
1.33778,0.928574,0.912,1,-0.912,2.47199
1.33704,0.92857,0.91,0.999999,-0.91,2.46001
1.3363,0.928574,0.908,1,-0.908,2.44799
1.33556,0.92857,0.906,0.999999,-0.906,2.43601
1.33481,0.928574,0.904,1,-0.904,2.42399
1.33407,0.92857,0.902,0.999999,-0.902,2.41201
1.33333,0.92857,0.9,0.999999,-0.9,2.40001
1.33259,0.928574,0.898,1,-0.898,2.38799
1.33185,0.92857,0.896,0.999999,-0.896,2.37601
1.33111,0.928574,0.894,1,-0.894,2.36399
1.33037,0.92857,0.892,0.999999,-0.892,2.35201
1.32963,0.928574,0.89,1,-0.89,2.33999
1.32889,0.92857,0.888,0.999999,-0.888,2.32801
1.32815,0.92857,0.886,0.999999,-0.886,2.31601
1.32741,0.928574,0.884,1,-0.884,2.30399
1.32667,0.92857,0.882,0.999999,-0.882,2.29201
1.32593,0.928574,0.88,1,-0.88,2.27999
1.32519,0.92857,0.878,0.999999,-0.878,2.26801
1.32444,0.928574,0.876,1,-0.876,2.25599
1.3237,0.92857,0.874,0.999999,-0.874,2.24401
1.32296,0.92857,0.872,0.999999,-0.872,2.23201
1.32222,0.928574,0.87,1,-0.87,2.21999
1.32148,0.92857,0.868,0.999999,-0.868,2.20801
1.32074,0.928574,0.866,1,-0.866,2.19599
1.32,0.92857,0.864,0.999999,-0.864,2.18401
1.31926,0.92857,0.862,0.999999,-0.862,2.17201
1.31852,0.928574,0.86,1,-0.86,2.15999
1.31778,0.928574,0.858,1,-0.858,2.14799
1.31704,0.928566,0.856,0.999996,-0.856,2.13602
1.3163,0.928574,0.854,1,-0.854,2.12399
1.31556,0.928574,0.852,1,-0.852,2.11199
1.31481,0.928574,0.85,1,-0.85,2.09999
1.31407,0.928566,0.848,0.999996,-0.848,2.08802
1.31333,0.928574,0.846,1,-0.846,2.07599
1.31259,0.928574,0.844,1,-0.844,2.06399
1.31185,0.928566,0.842,0.999996,-0.842,2.05202
1.31111,0.928574,0.84,1,-0.84,2.03999
1.31037,0.928574,0.838,1,-0.838,2.02799
1.30963,0.928574,0.836,1,-0.836,2.01599
1.30889,0.928566,0.834,0.999996,-0.834,2.00402
1.30815,0.928574,0.832,1,-0.832,1.99199
1.30741,0.928574,0.83,1,-0.83,1.97999
1.30667,0.928566,0.828,0.999996,-0.828,1.96802
1.30593,0.928574,0.826,1,-0.826,1.95599
1.30519,0.928574,0.824,1,-0.824,1.94399
1.30444,0.928574,0.822,1,-0.822,1.93199
1.3037,0.928566,0.82,0.999996,-0.82,1.92002
1.30296,0.928574,0.818,1,-0.818,1.90799
1.30222,0.928574,0.816,1,-0.816,1.89599
1.30148,0.928566,0.814,0.999996,-0.814,1.88402
1.30074,0.928574,0.812,1,-0.812,1.87199
1.3,0.928574,0.81,1,-0.81,1.85999
1.29926,0.928574,0.808,1,-0.808,1.84799
1.29852,0.928566,0.806,0.999996,-0.806,1.83602
